qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
5,19,0,8.73,800,0,6105,6
7,12,0,13.44,800,1,6127,1
6,15,0,10.7,800,0,6126,4
6,11,0,12.79,800,0,6121,2
2,7,0,8.5,800,1,6138,1
6,19,0,9.57,800,0,6132,2
5,21,0,8.44,800,1,6103,2
8,22,0,10.17,800,0,6111,1
5,11,0,11.36,800,1,6110,1
5,15,0,9.64,800,0,6141,1
3,16,0,7.39,200,0,5459,1
1,5,0,7.78,200,0,5435,1
2,9,0,7.59,200,0,5421,2
4,19,0,8.04,200,0,5422,2
3,16,0,7.39,200,0,5439,1
4,10,0,10.45,200,0,5457,1
3,16,0,6.99,200,0,5420,2
8,16,0,12.8,200,0,5470,2
6,9,0,14.61,200,0,5443,1
4,23,0,7.05,200,0,5414,2
4,22,0,7.6,200,0,5428,1
6,10,0,13.61,200,0,5440,3
5,21,0,8.44,200,0,5441,1
2,3,0,19.53,200,0,5422,1
6,18,0,9.79,200,0,5432,2
1,6,0,6.57,200,0,5438,1
6,20,0,9.37,200,0,5439,2
3,21,0,6.5,200,0,5421,2
6,21,0,9.19,200,0,5446,3
5,23,0,8.21,800,0,4154,2
4,13,0,9.14,800,1,4191,3
9,27,0,10.39,800,0,4145,4
4,14,0,8.84,800,1,4148,2
6,11,0,12.79,800,1,4143,3
6,20,0,9.57,800,0,4170,1
3,4,0,15.68,800,0,4169,4
2,3,0,14.31,800,1,4139,2
6,15,0,11.1,800,1,4189,3
2,5,0,10.2,800,1,4155,1
7,11,0,14.23,800,1,4150,1
6,20,0,9.57,800,0,4170,1
6,17,0,10.05,800,1,4185,2
4,19,0,7.9,800,0,4130,2
3,10,0,8.87,800,0,4166,2
4,16,0,8.38,800,1,4163,2
7,36,0,8.57,800,0,4185,1
5,17,0,9.12,800,1,4190,2
4,12,0,9.5,800,1,4153,1
4,21,1,7.98,800,0,4144,1
9,23,0,11.19,800,0,4176,2
8,16,0,12.33,800,1,4183,1
3,11,0,9.35,800,1,4174,2
7,15,0,11.75,800,0,4136,1
8,16,0,12.33,800,1,4183,1
2,14,0,6.59,800,1,4174,3
5,15,0,9.64,800,0,4174,2
7,17,0,10.98,800,1,4138,1
1,20,0,1.78,800,0,4137,2
7,16,0,11.75,800,1,4162,2
6,16,0,10.35,800,1,4148,1
7,19,0,10.67,200,0,5674,1
5,20,0,8.08,200,0,5719,2
5,20,0,8.08,200,0,5719,2
6,21,0,9.37,200,0,5707,1
6,21,0,8.67,200,0,5672,2
4,12,0,9.92,200,0,5712,1
2,3,0,14.31,200,0,5689,1
5,7,0,15.26,200,0,5677,2
3,7,0,10.75,200,0,5682,1
3,8,0,9.95,200,0,5711,3
7,18,0,10.98,200,0,5717,4
3,9,0,9.35,200,0,5665,2
2,8,0,7.98,200,0,5705,1
5,15,0,9.97,200,0,5697,1
1,13,0,5.17,200,0,5703,2
5,15,0,9.97,200,0,5686,5
5,15,0,9.64,200,0,5671,2
6,22,0,9.03,200,0,5693,1
3,16,0,7.39,1000,0,5564,2
7,20,0,10.16,1000,0,5564,2
4,18,0,8.04,1000,0,5591,2
5,13,0,10.35,1000,0,5550,1
4,17,0,8.38,1000,0,5556,2
5,17,0,9.12,1000,0,5581,5
7,16,0,11.34,1000,0,5586,1
3,17,0,7.27,1000,0,5578,2
7,14,0,12.23,1000,0,5575,2
6,17,0,10.05,1000,0,5558,1
11,19,0,14.18,1000,0,5569,3
5,19,0,8.73,1000,0,5550,1
6,19,0,9.57,1000,0,5551,2
4,15,0,8.84,1000,0,5570,2
1,8,0,6.01,1000,0,5568,1
3,9,0,9.35,1000,0,5600,1
4,27,0,7.36,1000,0,5565,1
3,8,0,9.95,200,0,4960,2
4,15,0,8.59,200,0,4955,2
2,7,0,8.5,200,0,4955,3
2,11,0,7.05,200,0,4931,2
